date,symbol,factor_id,factor_value,fwd_return_3m,rank,long_returns,short_returns,portfolio_return
2024-10-18,ABVE,price_to_52w_close_high,-2.585600174782326,0.09036668530699023,0.03692553452936839,,0.09036668530699023,
2024-10-18,QTTB,price_to_52w_close_high,0.6334344072374485,-2.2713251147880764,0.6091177193413615,,,
2024-10-18,AGO,price_to_52w_close_high,0.37589460139576686,0.18506870054006339,0.42405996559351194,,,
2024-10-18,PSNY,price_to_52w_close_high,-1.3072251686349634,-0.17324816982402724,0.13025313344802164,,-0.17324816982402724,
2024-10-18,SYK,price_to_52w_close_high,0.7087527556283543,0.0013954417217885472,0.7812730400589826,,,
2024-10-18,GPRO,price_to_52w_close_high,-1.9656541924197284,-0.7407432296498417,0.07421971000245761,,-0.7407432296498417,
2024-10-18,GRDN,price_to_52w_close_high,0.5301997653753124,0.811949226133331,0.5001228803145736,,,
2024-10-18,BLTE,price_to_52w_close_high,0.7355390164458735,-0.13036611635055564,0.9412017694765299,,,
2024-10-18,CUBA,price_to_52w_close_high,-0.17804296172369558,0.060597946867407014,0.28569673138363233,,,
2024-10-18,JFU,price_to_52w_close_high,-1.6576348125273876,-0.7330533398582227,0.09400344064880806,,-0.7330533398582227,
2024-10-18,BF.A,price_to_52w_close_high,-0.2143121359930842,-1.177704393528181,0.27844679282378965,,,
2024-10-18,FLJP,price_to_52w_close_high,0.5427895837176919,-0.19628838911251284,0.5076185795035635,,,
2024-10-18,GPN,price_to_52w_close_high,-0.35981799663458813,0.2700583442632372,0.2504300811010076,,,
2024-10-18,YEAR,price_to_52w_close_high,0.7159606757626653,-0.005593198115520989,0.8027770951093635,,,
2024-10-18,CHMG,price_to_52w_close_high,0.5439221801849359,-0.05560248399799835,0.5084787417055787,,,
2024-10-18,JLS,price_to_52w_close_high,0.6339616209694791,0.0588142555160354,0.6107151634308183,,,
2024-10-18,ESLT,price_to_52w_close_high,0.4923231618461063,1.5394877631940844,0.4770213811747358,,,
2024-10-18,IHAK,price_to_52w_close_high,0.7355390164458735,-0.07506379993548372,0.9412017694765299,,,
2024-10-18,FSBW,price_to_52w_close_high,0.5503420871591355,-0.25267410836103393,0.513393954288523,,,
2024-10-18,LDP,price_to_52w_close_high,0.644298928774769,-0.16932656551758724,0.6304988940771689,,,
2024-10-18,BTDR,price_to_52w_close_high,-0.7798673994492175,3.5290740689917115,0.1876382403538953,,3.5290740689917115,
2024-10-18,PKE,price_to_52w_close_high,0.23876609172066976,-0.03962999724983069,0.38006881297616124,,,
2024-10-18,SPPP,price_to_52w_close_high,0.657357773714513,-0.3932542891662443,0.65814696485623,,,
2024-10-18,SBIT,price_to_52w_close_high,-1.4442186920826594,-2.2713251147880764,0.11292700909314328,,-2.2713251147880764,
2024-10-18,AAON,price_to_52w_close_high,0.6207241777984782,0.754556302062716,0.5871221430326862,,,
2024-10-18,SBR,price_to_52w_close_high,0.1798733987720492,0.34204901669076765,0.36225116736298846,,,
2024-10-18,EETH,price_to_52w_close_high,-1.0013319009895376,1.0176429345440878,0.1597444089456869,,1.0176429345440878,
2024-10-18,BWB,price_to_52w_close_high,0.6903570652207781,-0.5472267797481223,0.7294175473089212,,,
2024-10-18,SPWO,price_to_52w_close_high,0.7163678729196824,-0.24782909205420262,0.8036372573113787,,,
2024-10-18,GDV$H,price_to_52w_close_high,0.7140547362478402,-0.3149916926404877,0.7974932415826984,,,
2024-10-18,WRLD,price_to_52w_close_high,-0.024432760556950914,0.03300046441535792,0.31764561317276974,,,
2024-10-18,JPI,price_to_52w_close_high,0.6754296546242518,-0.2051827328210299,0.6925534529368396,,,
2024-10-18,BERZ,price_to_52w_close_high,-2.585600174782326,-0.8523857743881538,0.03692553452936839,,-0.8523857743881538,
2024-10-18,API,price_to_52w_close_high,-1.0424445909793238,1.6412205128708066,0.1551978373064635,,1.6412205128708066,
2024-10-18,AKRO,price_to_52w_close_high,0.7355390164458735,-1.114369161800725,0.9412017694765299,,,
2024-10-18,SPYC,price_to_52w_close_high,0.7012828102444483,-0.028443911479718812,0.7603833865814696,,,
2024-10-18,IBLC,price_to_52w_close_high,0.16498433487590075,0.41814001824285024,0.3593020398132219,,,
2024-10-18,BANL,price_to_52w_close_high,-1.4812407835244052,0.7916971721664564,0.1087490783976407,,0.7916971721664564,
2024-10-18,DY,price_to_52w_close_high,0.7209382186147694,-0.14131385998038162,0.8224379454411404,,,
2024-10-18,FCPT,price_to_52w_close_high,0.614873851513105,-0.33320572367052925,0.5790120422708283,,,
2024-10-18,BOAT,price_to_52w_close_high,0.1780130675051895,-0.5658804262283206,0.36188252641926766,,,
2024-10-18,XNTK,price_to_52w_close_high,0.6444590693411072,0.12235228893050042,0.6306217743917425,,,
2024-10-18,MVSTW,price_to_52w_close_high,-0.6482689798992092,3.5290740689917115,0.20717621037109854,,,
2024-10-18,VTS,price_to_52w_close_high,0.5228474648254716,0.34580208885824143,0.49373310395674613,,,
2024-10-18,AISPW,price_to_52w_close_high,-1.0870373689842356,3.5290740689917115,0.1501597444089457,,3.5290740689917115,
2024-10-18,REYN,price_to_52w_close_high,0.444300656599708,-0.46849152474061345,0.45232243794544114,,,
2024-10-18,ASRV,price_to_52w_close_high,0.3684923832689771,-0.3312456957558641,0.421233718358319,,,
2024-10-18,BWET,price_to_52w_close_high,-0.26966755477905785,-0.749581240804935,0.26738756451216517,,,
2024-10-18,FSST,price_to_52w_close_high,0.7325142995139716,-0.04164328040943476,0.8691324649791103,,,
